arch_type,pipeline_stages,cache_type,cache_size,compute_units,branch_predictor,out_of_order,transistor_count,die_area_mm2,supply_voltage,max_frequency_ghz,cooling_type,ipc,energy,perf_per_watt
DSP,10,Inclusive,1,19,Dynamic,True,1159,396.8024286203774,1.1,2.6157025963200993,liquid,3.167,70.712,0.04479
ASIC,19,Exclusive,8,64,Static,True,303,206.4879042520999,1.0,1.239877802103754,liquid,13.668,201.2,0.06793
DSP,19,Non-inclusive,1,54,Static,False,369,120.66474595838909,1.2,3.3387616141438334,passive,5.054,135.756,0.03723
GPU,19,Exclusive,1,15,Static,False,131,187.97400399112533,1.2,2.340615403082624,liquid,2.398,55.777,0.04299
ASIC,10,Exclusive,4,43,Dynamic,True,1034,117.43015762857506,1.2,3.2573837881987555,air,6.802,132.914,0.05118
ASIC,11,Non-inclusive,1,64,Dynamic,False,123,80.434406572547,1.1,3.440055269429392,liquid,5.935,148.206,0.04005
ASIC,9,Exclusive,2,26,Dynamic,False,1979,147.45801251023278,1.1,3.2700947427536513,passive,2.805,67.865,0.04133
ASIC,10,Inclusive,16,23,Dynamic,True,373,59.250305151047606,1.2,1.9067530887366853,liquid,6.393,76.157,0.08395
DSP,7,Inclusive,4,64,Dynamic,False,562,339.3742800851701,0.9,1.9263670082325612,liquid,6.786,135.534,0.05007
DSP,7,Non-inclusive,8,15,Dynamic,True,531,275.12080271223147,0.9,1.9513963619798051,passive,3.144,55.289,0.05686
CPU,14,Exclusive,2,3,Dynamic,True,510,52.58856426837645,0.9,2.5413679495615424,liquid,0.918,37.607,0.02441
DSP,19,Exclusive,8,12,Static,True,1149,359.3164164095128,1.0,3.914851786176758,air,3.462,66.784,0.05184
FPGA,18,Exclusive,1,25,Static,True,695,236.05237017376118,1.0,2.973151925203727,liquid,4.378,102.905,0.04254
ASIC,9,Inclusive,8,55,Dynamic,False,202,206.64854817164243,1.0,1.7077729769172298,liquid,7.025,127.992,0.05489
GPU,11,Exclusive,4,2,Static,False,655,295.92833031203645,1.0,3.0319087546729167,air,0.356,19.482,0.01827
ASIC,5,Non-inclusive,1,12,Dynamic,True,1466,333.3197190296544,1.0,2.072733936700639,air,2.244,42.918,0.05229
GPU,14,Non-inclusive,8,13,Dynamic,False,530,238.37348783005993,1.1,2.628693048341357,passive,2.024,51.882,0.03901
ASIC,6,Exclusive,2,22,Static,False,927,120.4350091218753,1.2,1.2194450864233426,liquid,1.931,54.902,0.03517
FPGA,9,Exclusive,8,54,Dynamic,True,1507,61.1893233828318,0.9,1.9869537479244155,air,10.815,160.931,0.0672
FPGA,4,Exclusive,4,20,Static,True,1554,254.47028538870467,1.1,2.041724441780926,liquid,2.923,62.223,0.04698
GPU,14,Exclusive,8,58,Dynamic,False,1578,218.8358232007064,1.1,2.1714451503646215,liquid,7.327,132.787,0.05518
FPGA,12,Exclusive,8,10,Dynamic,False,826,278.83196828706434,1.0,3.843032982717161,air,1.882,35.392,0.05318
GPU,8,Exclusive,4,64,Static,True,864,168.76431321387338,0.9,1.1225978371171732,liquid,10.479,177.314,0.0591
GPU,20,Exclusive,16,7,Dynamic,True,1303,316.91667902619076,0.9,3.570600669306569,air,3.939,56.455,0.06977
DSP,8,Exclusive,1,37,Dynamic,True,1105,175.61478386722519,1.2,2.3664034101792932,air,5.129,108.975,0.04707
FPGA,8,Inclusive,4,3,Static,False,535,322.75004002971525,1.1,1.3912106590069424,liquid,0.638,14.779,0.04317
CPU,8,Non-inclusive,2,21,Dynamic,True,731,105.56440313071792,1.0,1.0239036497608205,passive,3.363,71.545,0.04701
DSP,12,Non-inclusive,8,36,Static,True,896,213.75859537942904,1.1,3.510242835221586,passive,7.658,118.791,0.06447
GPU,4,Exclusive,1,18,Static,False,1817,215.83685572693943,1.2,1.1729930678282088,passive,1.351,37.913,0.03563
DSP,8,Non-inclusive,8,6,Static,True,465,276.45756416332165,1.2,1.6886969885516812,passive,1.306,34.187,0.0382
ASIC,19,Exclusive,2,60,Static,False,1820,242.63459788002731,0.9,2.048131770404475,liquid,5.825,150.281,0.03876
DSP,11,Non-inclusive,8,19,Static,False,266,371.9471956084177,1.0,1.7904621916537258,passive,2.827,52.645,0.0537
DSP,8,Non-inclusive,2,63,Dynamic,False,287,312.2941553419888,1.1,2.714060506098483,air,5.75,139.121,0.04133
GPU,8,Exclusive,2,3,Static,True,1752,321.63362260940704,1.2,2.0954824156568623,liquid,0.713,19.818,0.03598
DSP,6,Inclusive,16,3,Static,True,1672,319.33152577143807,1.0,2.3865775702958723,liquid,1.727,22.112,0.0781
DSP,19,Non-inclusive,16,58,Static,True,309,217.07670805136434,0.9,1.891484867110369,liquid,16.492,183.396,0.08993
DSP,18,Non-inclusive,8,25,Static,False,1953,92.30288927721936,1.0,1.6617096186534355,air,3.707,72.86,0.05088
ASIC,13,Inclusive,4,8,Dynamic,True,1287,158.55026604828316,1.0,1.2104185061540906,passive,2.605,43.733,0.05957
ASIC,9,Inclusive,2,56,Static,True,1547,165.47152654522046,1.1,3.151764348859699,passive,8.325,167.842,0.0496
DSP,11,Exclusive,8,16,Static,True,1944,277.4965903418224,0.9,2.9341356165176538,liquid,3.622,60.863,0.05951
GPU,10,Non-inclusive,16,10,Static,False,784,292.3595659874989,1.2,1.6170705388854827,liquid,2.201,35.656,0.06173
DSP,15,Exclusive,4,37,Dynamic,False,1473,87.867494092807,0.9,2.7381419057977414,air,4.008,92.502,0.04333
CPU,7,Non-inclusive,4,63,Dynamic,False,1495,295.9785405635999,1.0,2.511326749705646,liquid,6.886,141.015,0.04883
GPU,8,Inclusive,16,48,Dynamic,False,479,312.5945538803847,1.1,1.8775242375591854,liquid,8.118,111.621,0.07273
DSP,12,Exclusive,4,54,Dynamic,False,1785,263.5068783827017,1.2,2.589861143927524,air,5.794,123.914,0.04676
GPU,18,Non-inclusive,2,4,Static,False,148,292.1858790212142,1.2,3.935648324628673,passive,1.284,30.291,0.04239
FPGA,9,Non-inclusive,1,61,Dynamic,False,636,360.22935148331646,1.2,3.744698195929032,liquid,5.099,136.884,0.03725
CPU,19,Inclusive,2,26,Dynamic,False,908,365.7634061381097,1.2,2.98676486514736,air,3.034,83.174,0.03648
DSP,13,Inclusive,16,11,Static,True,635,231.9485825795421,1.0,3.6319926244456546,liquid,4.62,56.726,0.08144
DSP,12,Exclusive,4,15,Static,False,688,323.8219350029574,1.2,1.61195928910466,passive,1.764,45.843,0.03848
DSP,17,Inclusive,1,22,Dynamic,True,1637,75.67490917885698,1.1,3.5508628358104213,passive,4.158,87.085,0.04775
ASIC,18,Inclusive,1,44,Dynamic,True,1476,260.61127196294115,0.9,3.559274650611852,passive,6.978,151.32,0.04611
FPGA,9,Exclusive,2,15,Static,True,420,178.49681828267845,1.2,2.9928466955970254,liquid,2.22,61.55,0.03607
CPU,19,Non-inclusive,2,48,Static,True,1086,374.04590627626305,1.0,2.0856619803155274,liquid,7.899,157.474,0.05016
CPU,20,Exclusive,2,53,Static,False,993,207.94944678808366,1.1,3.9405159778887597,liquid,5.261,131.626,0.03997
DSP,20,Inclusive,8,19,Dynamic,False,751,272.8730975800409,1.2,3.2847658819372922,liquid,3.398,63.948,0.05314
FPGA,20,Exclusive,2,42,Dynamic,True,1924,271.3327039081376,1.2,3.3567669998056124,liquid,6.589,152.645,0.04317
CPU,16,Exclusive,1,18,Static,True,1133,139.93457926655176,0.9,2.2391587115681038,air,3.657,79.973,0.04573
GPU,17,Inclusive,4,3,Static,True,1068,373.9286300281202,1.0,2.6896881663403893,air,1.754,37.051,0.04734
FPGA,10,Inclusive,2,31,Static,True,502,145.5536084999756,1.2,3.3832911726826405,liquid,5.305,105.07,0.05049
ASIC,11,Inclusive,8,56,Dynamic,True,334,281.0271478837418,1.0,3.3918220061437245,passive,11.451,163.959,0.06984
DSP,10,Inclusive,16,24,Static,False,398,376.2864253529887,1.0,1.506215762614163,liquid,4.146,67.81,0.06114
CPU,11,Non-inclusive,1,7,Dynamic,True,147,167.22023705949016,0.9,1.7616078514327373,passive,1.732,39.355,0.04401
DSP,6,Non-inclusive,8,57,Dynamic,False,1929,135.18494050386585,1.1,1.8987177843430842,passive,7.137,122.411,0.0583
CPU,12,Exclusive,16,26,Static,False,1386,379.67519895333794,1.0,1.1718099502066779,air,5.033,73.506,0.06847
GPU,8,Non-inclusive,1,12,Static,True,1382,121.4122102742377,0.9,3.5554608145418736,liquid,1.548,49.859,0.03105
CPU,18,Non-inclusive,16,8,Dynamic,False,1776,381.58677314682046,1.2,1.483985784229364,passive,3.103,47.856,0.06484
FPGA,19,Inclusive,16,22,Static,True,627,314.12153050349366,1.2,3.5743370909216736,air,7.821,99.191,0.07885
DSP,16,Non-inclusive,8,56,Dynamic,True,808,327.9396749605757,1.1,3.264064084116518,air,11.381,176.646,0.06443
GPU,16,Inclusive,4,14,Dynamic,False,1387,320.8483273600167,1.1,1.1201807065275036,passive,2.175,50.223,0.04331
CPU,12,Non-inclusive,16,11,Static,False,1644,66.17865789342659,1.1,2.7356956193379722,air,2.383,35.345,0.06742
ASIC,13,Non-inclusive,8,4,Static,True,233,258.97545763555263,1.2,3.678771569962461,air,1.662,36.299,0.04579
CPU,12,Exclusive,8,51,Dynamic,True,1082,60.83263871608449,1.0,3.237916943013014,air,10.593,152.163,0.06962
GPU,19,Exclusive,1,44,Static,False,1452,307.9002995473335,1.0,3.371069892463807,air,4.095,121.151,0.0338
DSP,4,Non-inclusive,1,34,Dynamic,True,1421,387.5024118843619,1.0,1.4554257644329969,liquid,5.081,91.746,0.05538
DSP,13,Inclusive,4,43,Static,True,1584,95.2994821401715,1.1,3.5940077045601986,liquid,7.026,134.721,0.05215
GPU,18,Exclusive,2,19,Dynamic,False,389,205.62489936659657,1.1,3.4813365229302082,passive,2.416,69.493,0.03477
FPGA,12,Exclusive,2,35,Dynamic,True,607,206.28669657981098,1.1,3.5779381531081866,liquid,5.458,116.635,0.0468
CPU,7,Non-inclusive,8,30,Static,False,1920,103.31457244695073,1.1,1.01682340532619,liquid,4.212,73.766,0.0571
FPGA,9,Non-inclusive,1,8,Static,False,1971,373.5182568479217,1.1,2.5813267156426773,passive,1.449,32.836,0.04413
ASIC,19,Inclusive,8,52,Dynamic,False,987,299.8873354355552,1.1,1.2463452634533767,passive,7.513,132.384,0.05675
GPU,18,Exclusive,4,5,Dynamic,False,1906,83.72980614961952,0.9,2.58032644803748,liquid,1.134,34.32,0.03304
GPU,8,Exclusive,16,35,Dynamic,True,434,368.90573017945457,1.1,2.142872897122099,passive,9.076,111.32,0.08153
ASIC,14,Non-inclusive,16,11,Dynamic,False,1189,395.7322237747624,0.9,1.5132468186941588,passive,2.579,45.294,0.05694
FPGA,11,Non-inclusive,1,20,Dynamic,False,718,312.50135847321565,0.9,1.0643672471412104,passive,1.767,56.36,0.03135
GPU,15,Inclusive,8,27,Static,False,1715,196.6339549083964,0.9,3.6815080234020203,passive,4.159,72.569,0.05731
CPU,18,Inclusive,4,51,Static,True,1284,282.681193254707,1.0,3.24321237506168,passive,8.635,171.275,0.05042
ASIC,9,Exclusive,16,53,Static,True,596,334.5836024262568,1.0,2.6451130176794746,air,13.512,151.938,0.08893
CPU,10,Exclusive,2,9,Static,False,549,202.23203738550532,1.1,3.0799125026081646,air,1.17,34.53,0.03388
CPU,10,Non-inclusive,4,9,Static,False,1151,235.47007076157414,1.0,1.383908106507343,liquid,1.436,30.179,0.04758
CPU,15,Inclusive,4,62,Static,False,468,395.09662804794056,1.1,2.026415230179469,air,6.82,145.368,0.04692
ASIC,9,Non-inclusive,2,44,Dynamic,True,1515,111.31627343565995,1.2,1.8239142154942776,air,6.84,134.489,0.05086
GPU,18,Inclusive,1,31,Static,False,610,151.2204551039788,1.0,2.932271228641878,air,3.239,91.141,0.03554
DSP,14,Inclusive,4,24,Dynamic,False,265,326.0364028242376,1.0,1.2777652753631163,liquid,2.622,70.723,0.03707
FPGA,20,Non-inclusive,8,1,Dynamic,True,1479,57.671366631685665,1.1,3.5712013375438625,liquid,2.002,44.303,0.04519
DSP,11,Exclusive,2,7,Dynamic,False,774,90.36550799116623,0.9,1.598006376983893,liquid,1.221,25.895,0.04715
DSP,20,Non-inclusive,2,37,Static,True,1169,79.13397868923485,1.0,1.0004682003742662,liquid,5.95,137.839,0.04317
CPU,11,Inclusive,2,38,Static,False,1665,195.75298465912772,1.1,3.6801995207285074,liquid,3.757,90.592,0.04147
ASIC,18,Inclusive,1,44,Dynamic,False,1870,218.4585191806031,1.2,1.4482191320594717,liquid,4.515,116.343,0.03881
GPU,8,Exclusive,8,47,Static,False,853,364.90052541621344,1.1,2.5007405301032275,liquid,6.376,102.586,0.06215
ASIC,13,Inclusive,8,37,Dynamic,True,274,80.49097981415188,1.1,2.7327384966049513,air,8.281,118.543,0.06986
GPU,8,Non-inclusive,16,18,Static,False,1807,116.89709388369624,1.1,1.7880990782403046,passive,3.234,45.222,0.07151
FPGA,19,Exclusive,1,23,Static,True,930,282.1573162776199,0.9,2.8048612609419052,passive,3.791,93.534,0.04053
CPU,18,Non-inclusive,2,17,Dynamic,False,214,300.33433438211824,1.0,2.1736452961492887,air,2.357,57.992,0.04064
CPU,4,Inclusive,16,37,Dynamic,True,412,149.69821994500325,1.0,1.539079600629067,passive,9.462,104.438,0.0906
DSP,14,Non-inclusive,8,54,Dynamic,True,1003,247.519046169914,0.9,1.315144147133922,liquid,10.835,166.641,0.06502
FPGA,8,Exclusive,4,46,Static,False,230,122.25325540292832,1.0,2.4877118754022947,air,5.363,105.19,0.05098
FPGA,8,Non-inclusive,16,24,Dynamic,False,1086,70.72705488970374,1.0,1.0361937574477458,air,4.377,55.292,0.07916
ASIC,20,Non-inclusive,1,27,Dynamic,True,847,295.65192810766064,1.1,2.8086633936530006,liquid,5.215,111.416,0.04681
CPU,10,Non-inclusive,4,49,Dynamic,True,603,297.2998884817643,1.2,1.8639628325054791,liquid,8.135,147.468,0.05516
GPU,19,Non-inclusive,1,51,Dynamic,False,1105,217.93683579529585,1.2,1.8735471721352353,passive,4.945,126.19,0.03919
FPGA,10,Inclusive,4,49,Dynamic,True,1145,263.5005170549408,1.1,3.3166653507163617,air,8.13,145.976,0.05569
FPGA,4,Inclusive,16,27,Dynamic,True,369,112.70563381773559,1.1,3.083214338369687,liquid,7.038,82.247,0.08557
FPGA,9,Exclusive,1,61,Static,False,1210,354.00446177195965,1.2,1.7495165101217727,air,5.192,133.537,0.03888
CPU,11,Exclusive,8,49,Static,False,876,371.5087111702763,1.2,3.8211623568868127,liquid,6.137,111.196,0.05519
DSP,19,Exclusive,8,46,Static,False,1522,206.0531084678798,1.0,1.6970615066424668,passive,6.207,119.882,0.05178
GPU,12,Non-inclusive,8,17,Static,True,1191,250.7172376210568,1.0,1.4426944688579448,air,3.643,67.361,0.05408
ASIC,5,Non-inclusive,4,59,Static,False,938,131.1690629157655,1.1,1.6072414626456186,passive,6.241,126.434,0.04936
ASIC,11,Inclusive,1,1,Dynamic,False,881,95.28223857002476,1.0,3.4256158498433877,air,0.908,19.842,0.04576
FPGA,19,Non-inclusive,1,42,Static,False,836,324.9309802167905,1.2,3.7699311576607686,air,4.857,109.133,0.04451
ASIC,4,Exclusive,4,53,Static,True,1790,156.49437621858692,1.2,1.9388826661503384,air,7.78,144.84,0.05371
ASIC,9,Inclusive,4,1,Static,True,1384,66.20256230159944,1.1,2.4068440055621965,liquid,1.134,19.886,0.05703
ASIC,13,Non-inclusive,1,28,Dynamic,False,1222,171.61330691675568,0.9,1.3368427422745057,air,3.235,79.201,0.04085
ASIC,16,Non-inclusive,16,47,Static,True,1371,280.4195914781491,1.1,3.203067176192056,air,13.371,152.072,0.08793
DSP,8,Inclusive,4,21,Dynamic,True,1543,69.21649237302034,1.0,1.9180691370379042,passive,4.012,66.356,0.06046
FPGA,6,Exclusive,2,13,Static,True,1695,295.092937011285,1.1,3.0253628936643437,liquid,1.927,42.524,0.04532
DSP,8,Inclusive,16,12,Dynamic,False,890,289.78692700545355,1.0,1.9338172040872026,liquid,2.338,32.647,0.07161
GPU,5,Exclusive,4,38,Dynamic,True,600,346.97909033596227,1.0,3.07691597380822,liquid,5.942,112.809,0.05267
GPU,19,Exclusive,4,24,Static,True,1756,70.51697009984507,1.0,2.3057327453067247,liquid,4.748,100.924,0.04705
CPU,14,Exclusive,16,16,Static,True,283,127.87014612354886,1.2,2.8074885476309666,air,5.64,65.883,0.08561
CPU,6,Exclusive,4,36,Static,True,1936,178.3081141547169,1.2,3.5028382954480017,air,6.002,105.208,0.05705
DSP,7,Inclusive,4,45,Static,False,1544,182.56428427255344,1.1,2.6056458402084326,liquid,4.894,105.206,0.04652
ASIC,10,Inclusive,4,13,Dynamic,False,773,161.98045135568879,0.9,3.9412721128342643,liquid,1.772,37.348,0.04745
FPGA,12,Inclusive,8,41,Static,True,926,331.9182105157409,1.1,2.8958394397208957,liquid,8.942,130.874,0.06833
FPGA,13,Inclusive,2,27,Dynamic,True,1054,277.26251882443717,1.1,1.040585468181488,liquid,4.783,98.114,0.04875
DSP,6,Non-inclusive,2,7,Dynamic,False,140,56.22478579350962,0.9,3.3922322111378245,liquid,0.716,21.648,0.03307
DSP,4,Inclusive,16,4,Static,True,232,100.26623119488154,0.9,3.9100653439208304,passive,1.221,20.628,0.05919
CPU,13,Non-inclusive,16,2,Static,True,1293,54.631368880170875,0.9,3.9927190255292038,liquid,1.69,30.586,0.05525
CPU,5,Non-inclusive,4,49,Static,True,303,207.80608768789568,0.9,2.8940176976843737,air,7.871,140.744,0.05592
DSP,20,Exclusive,8,11,Static,False,1376,211.06574666935063,1.0,3.738043239040536,passive,2.787,50.641,0.05503
ASIC,6,Non-inclusive,2,49,Static,False,195,275.622976469107,1.2,2.5364122234770043,liquid,4.51,110.712,0.04074
FPGA,6,Non-inclusive,16,10,Static,True,1906,163.55646036270363,1.1,2.5323705820468367,liquid,3.486,38.305,0.09101
GPU,17,Inclusive,4,45,Dynamic,False,1927,369.13984045756905,1.1,2.3904589528626174,liquid,5.48,115.341,0.04751
CPU,18,Inclusive,8,19,Dynamic,False,718,79.60293822368638,0.9,3.4000561892300496,liquid,3.604,64.568,0.05582
GPU,19,Inclusive,4,37,Static,True,1321,261.91308538220403,1.2,3.4341494349012187,air,7.397,132.678,0.05575
FPGA,7,Exclusive,16,16,Static,False,1083,205.19209739553577,1.2,3.446878244726507,liquid,2.914,39.98,0.07289
GPU,8,Exclusive,8,28,Dynamic,True,1202,55.905013320250085,0.9,2.3929584208431756,air,6.005,87.094,0.06895
ASIC,14,Inclusive,4,64,Static,True,1319,153.62251770420954,1.2,3.733507607123059,passive,10.903,189.047,0.05767
ASIC,10,Non-inclusive,1,16,Dynamic,False,1552,219.62170083808473,1.2,1.640925486086541,liquid,1.806,46.771,0.03861
CPU,9,Inclusive,4,56,Dynamic,True,257,350.0471161726948,0.9,1.438073397398444,liquid,9.116,163.141,0.05588
GPU,10,Non-inclusive,4,34,Static,False,647,193.45104390086027,0.9,1.3454643823776031,passive,4.334,82.49,0.05254
CPU,9,Exclusive,16,64,Static,False,1448,67.54909497273528,1.1,1.7844911410713804,passive,10.62,143.507,0.074
FPGA,6,Inclusive,1,33,Dynamic,False,904,217.34845550826319,1.2,1.367539829260039,liquid,3.303,71.643,0.0461
FPGA,7,Inclusive,16,53,Dynamic,False,610,86.41782109655914,1.2,1.4586208403650796,passive,8.669,113.104,0.07665
DSP,18,Non-inclusive,2,36,Dynamic,True,1043,53.78719858225736,1.2,3.1566983212166404,liquid,5.755,131.145,0.04388
GPU,14,Exclusive,16,7,Dynamic,True,862,70.45694089049577,0.9,2.204335189064678,air,3.412,45.762,0.07456
FPGA,4,Exclusive,8,27,Static,True,1290,176.33233365567833,1.1,1.5826788657389406,liquid,5.719,78.14,0.07319
CPU,12,Non-inclusive,1,10,Dynamic,False,1579,156.21420928616703,1.2,3.6355707648664444,passive,1.217,38.782,0.03138
FPGA,11,Non-inclusive,2,30,Dynamic,False,589,344.07318257900255,1.2,3.596243794098709,air,3.304,74.36,0.04443
FPGA,12,Exclusive,2,55,Dynamic,True,1004,118.70076420045898,1.2,2.788393114700784,liquid,8.006,169.99,0.0471
DSP,20,Exclusive,8,45,Static,True,862,322.11672474781767,0.9,2.244919483414832,passive,9.775,156.031,0.06265
GPU,8,Non-inclusive,4,27,Static,False,385,213.7479295473432,1.2,1.7434576993649658,passive,3.233,70.359,0.04595
FPGA,10,Inclusive,4,26,Dynamic,False,164,389.9128626426521,1.2,1.167871643184022,passive,3.383,71.924,0.04704
GPU,8,Inclusive,16,37,Dynamic,True,1472,84.24004124067231,1.0,2.278434752320198,passive,10.287,107.452,0.09574
FPGA,9,Non-inclusive,1,61,Static,False,194,371.72940432733753,1.0,3.5481129040970645,passive,5.532,133.312,0.0415
ASIC,5,Exclusive,4,43,Dynamic,True,1459,310.79043947360856,1.2,1.8177005698608526,liquid,6.706,117.37,0.05714
ASIC,16,Non-inclusive,1,60,Dynamic,True,651,306.22069345943595,1.2,3.6226191447065905,air,8.348,187.06,0.04463
CPU,8,Non-inclusive,1,8,Dynamic,True,864,72.26904640978161,1.0,3.530155367370969,liquid,1.172,36.527,0.03209
CPU,11,Inclusive,8,46,Static,True,1645,132.23047420267397,1.1,3.5132843884025657,air,9.557,144.011,0.06636
DSP,7,Non-inclusive,8,36,Static,True,407,167.42285882966144,0.9,1.8993863432603435,air,6.704,102.988,0.06509
DSP,13,Non-inclusive,16,21,Dynamic,False,1085,277.9343489594572,1.0,3.4719454931156863,air,4.693,59.838,0.07843
DSP,15,Inclusive,8,9,Static,True,1925,97.7457240025405,1.2,3.0187204170427884,liquid,2.512,53.223,0.0472
CPU,6,Non-inclusive,8,46,Static,True,1949,391.6318155517092,1.2,2.547760766945877,liquid,8.906,135.354,0.0658
ASIC,8,Non-inclusive,8,44,Dynamic,False,1645,91.70558925551956,1.0,3.754834545192469,passive,5.53,98.677,0.05604
FPGA,14,Inclusive,8,50,Static,True,677,354.2486815253271,1.2,3.5534740932559084,liquid,10.48,159.312,0.06578
ASIC,13,Exclusive,1,22,Static,False,1644,357.53189296977047,0.9,2.7806325006499533,air,2.563,66.919,0.0383
ASIC,15,Non-inclusive,16,61,Dynamic,True,1363,186.26742246897996,0.9,2.0541517034369465,passive,16.176,183.733,0.08804
FPGA,13,Non-inclusive,2,25,Dynamic,True,850,99.48006121546787,1.0,3.215935274924605,liquid,4.617,88.396,0.05223
DSP,16,Non-inclusive,2,46,Static,False,296,390.5261010053785,1.1,3.036779092022822,air,4.891,114.701,0.04264
FPGA,14,Non-inclusive,8,59,Static,True,1145,305.52346348360595,1.2,3.05026202512895,passive,12.315,183.595,0.06708
ASIC,10,Exclusive,4,9,Dynamic,True,1826,200.3381412866974,1.1,2.445940479172756,passive,2.222,38.953,0.05704
GPU,17,Inclusive,2,10,Dynamic,False,665,82.47895261674694,1.1,1.690224213331967,liquid,1.616,46.789,0.03454
GPU,4,Exclusive,4,52,Dynamic,True,117,361.67712053794946,0.9,1.8367287158595507,passive,7.763,138.064,0.05623
DSP,15,Exclusive,16,49,Static,True,854,302.3222839524491,1.0,3.9585395885752357,liquid,13.371,153.797,0.08694
FPGA,7,Non-inclusive,8,60,Static,True,1294,241.7607249134449,0.9,1.3832986007843222,passive,11.533,166.757,0.06916
FPGA,19,Non-inclusive,16,64,Dynamic,False,1415,141.49965709358332,1.1,3.9593137520218713,air,11.692,153.608,0.07612
FPGA,17,Exclusive,8,47,Static,False,1480,85.95552773038416,1.0,3.3412141913881404,passive,6.675,118.945,0.05612
DSP,20,Inclusive,16,50,Dynamic,True,147,189.6361697677095,0.9,2.7174792977703155,air,14.544,173.683,0.08374
DSP,4,Inclusive,8,24,Static,True,1235,154.2165411355066,0.9,2.081199086047646,liquid,5.047,67.67,0.07458
ASIC,17,Inclusive,4,4,Dynamic,True,943,95.52100160728438,1.1,1.5158956163017079,liquid,2.113,41.387,0.05105
ASIC,11,Inclusive,1,36,Dynamic,True,804,266.83939790652505,1.1,2.539554007401758,passive,4.814,111.864,0.04303
ASIC,19,Non-inclusive,4,35,Dynamic,False,1308,270.5276717149502,0.9,1.4519639493312821,passive,4.652,98.485,0.04724
CPU,9,Inclusive,2,64,Static,False,1070,340.81489487039823,1.0,3.891081820603816,liquid,6.008,145.965,0.04116
DSP,7,Inclusive,1,31,Static,False,1981,217.92500076695376,0.9,2.13589389758698,liquid,2.661,68.331,0.03894
